you|y'all
aren't|ain't
are not|ain't
isn't|ain't
is not|ain't
stomach|bread basket
askew|cattywampus
boss|chief cook and bottle washer
urge|egg on
healthy|fit as a fiddle
angry|fit to be tied
going to|fixin' to
have dinner|grab a root
desire|hankering
a lot|a heap
hello|howdy
great|hunkey dorey
quick|lickety-split
almost|nearabout
nurse|nuss
mad|ornery
not right|out of kilter
carry|tote
small|piddlin'
pretty|purdy
doll|rag-baby
think|reckon
believe|reckon
very|right
anger|rile
rather|ruther
rare|scarce as hen's teeth
movie|show
run|skedaddle
comfortable|snug as a bug
shock|tarnation
broken|tore up
tip|tump
conceited|uppity
drunk|walking on a slant
